Name,Reason,Number
"Quincy, IL: Quincy Regional-Baldwin Field",Weather,1
"Raleigh/Durham, NC: Raleigh-Durham International",Weather,17
"Rapid City, SD: Rapid City Regional",Weather,2
"Reno, NV: Reno/Tahoe International",Weather,6
"Rhinelander, WI: Rhinelander/Oneida County",Weather,2
"Richmond, VA: Richmond International","National Air System",17
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",Weather,3
"Rochester, MN: Rochester International","National Air System",2
"Rochester, NY: Greater Rochester International",Weather,5
"Roswell, NM: Roswell International Air Center",Carrier,1
"Sacramento, CA: Sacramento International",Carrier,12
"Saginaw/Bay City/Midland, MI: MBS International",Weather,5
"Salt Lake City, UT: Salt Lake City International",Weather,21
"San Angelo, TX: San Angelo Regional/Mathis Field",Carrier,1
"San Antonio, TX: San Antonio International",Weather,21
"San Diego, CA: San Diego International",Carrier,33
"San Francisco, CA: San Francisco International",Carrier,32
"San Jose, CA: Norman Y. Mineta San Jose International",Carrier,18
"San Juan, PR: Luis Munoz Marin International",Weather,4
"San Luis Obispo, CA: San Luis County Regional",Weather,1
"Santa Ana, CA: John Wayne Airport-Orange County",Weather,10
"Santa Barbara, CA: Santa Barbara Municipal","National Air System",8
"Santa Rosa, CA: Charles M. Schulz - Sonoma County",Weather,6
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",Weather,4
"Savannah, GA: Savannah/Hilton Head International","National Air System",9
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","National Air System",2
"Seattle, WA: Seattle/Tacoma International",Weather,25
"Shreveport, LA: Shreveport Regional",Weather,8
"Sioux Falls, SD: Joe Foss Field",Carrier,1
"Sitka, AK: Sitka Rocky Gutierrez",Carrier,1
"South Bend, IN: South Bend International",Weather,8
"Spokane, WA: Spokane International",Carrier,4
"Springfield, IL: Abraham Lincoln Capital",Carrier,1
"Springfield, MO: Springfield-Branson National",Weather,3
"St. Louis, MO: St Louis Lambert International",Weather,22
"State College, PA: University Park",Weather,1
"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",Weather,8
"Syracuse, NY: Syracuse Hancock International","National Air System",5
"Tallahassee, FL: Tallahassee International","National Air System",5
"Tampa, FL: Tampa International",Weather,23
"Traverse City, MI: Cherry Capital",Weather,4
"Trenton, NJ: Trenton Mercer",Weather,1
"Tucson, AZ: Tucson International","National Air System",3
"Tulsa, OK: Tulsa International","National Air System",4
"Twin Falls, ID: Joslin Field - Magic Valley Regional",Weather,7
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Weather,6
"Washington, DC: Ronald Reagan Washington National",Carrier,27
"Washington, DC: Washington Dulles International",Weather,12
"West Palm Beach/Palm Beach, FL: Palm Beach International",Weather,17
"White Plains, NY: Westchester County","National Air System",3
"Wichita, KS: Wichita Dwight D Eisenhower National",Weather,5
"Wilmington, NC: Wilmington International",Weather,5
"Worcester, MA: Worcester Regional",Weather,2
"Wrangell, AK: Wrangell Airport",Carrier,1
"Yakutat, AK: Yakutat Airport",Carrier,1
